Feature,Chi2_Score,P_Value
catturd2,6.692760954086131,0.08236272997651276
interview,6.684450296882948,0.08266528278196168
age,6.673329489853561,0.08307181631940808
marionawfal,6.6606819655314,0.08353650232582346
class,6.6594827128130465,0.0835806941650124
epic,6.658136883008595,0.0836303141173232
immigration,6.650203183842482,0.08392340227481974
completely,6.630118008089461,0.0846698229745585
ny,6.615865188542099,0.08520337186689038
biden,6.611610524099083,0.08536327022179542
lead,6.586642492776532,0.08630745583799788
russian,6.5832308271488005,0.08643724891688642
shot,6.573046093462509,0.08682583473544978
kanekoathegreat,6.563548919953169,0.0871897023797193
true,6.562455379926047,0.08723169357313737
center,6.56077520672179,0.08729624901432798
past,6.559278683967176,0.08735378697395588
united,6.556203529198161,0.08747213440036264
nc,6.549808800276423,0.08771873004893653
given,6.538538146159315,0.08815498238041153
100,6.523069905119463,0.08875711058809649
secret,6.5080526944179855,0.0893454660386469
15,6.500751647989768,0.0896328655628665
community,6.4910439489702405,0.09001637844898867
town,6.462587507543491,0.09114969493086722
foxnews,6.4606012996442175,0.09122930852536783
held,6.455026091229998,0.09145313816514704
month,6.44963245664853,0.09167018049096315
live,6.4404133497516005,0.09204230858935282
28,6.429967730093774,0.09246569940900179
folks,6.408819861788472,0.09332862105771313
instead,6.408225772558038,0.0933529737883802
save,6.398380866253919,0.09375742331583327
points,6.370805533652413,0.09489925718454598
mainstream,6.365793337411327,0.09510823072144738
fact,6.343757604271239,0.09603222049785044
kits,6.327241917769111,0.09673039125807739
lady,6.283877776074943,0.09858679877363342
barackobama,6.249559355225612,0.10008014429133992
members,6.133854120962702,0.10527646139960982
make,6.127312286792444,0.10557784623017313
40,6.126004220473762,0.10563820838374988
listen,6.100970890624252,0.1067997855875371
literally,6.081472336978171,0.10771300220409978
knew,6.080136173538086,0.10777585437756239
loathsome,6.078461840218725,0.10785466336357859
latest,6.078461840218725,0.10785466336357859
talking,6.061971320470679,0.10863380517764898
bad,6.029605857605619,0.1101786864072905
probably,5.9684397267219005,0.11315583763678984
run,5.925603256424562,0.11528642557362784
union,5.923540256605205,0.11538999542169727
hall,5.8475214213484685,0.11926894217266906
minute,5.832375716213612,0.12005648831298071
worth,5.830966392115068,0.12013002197243582
control,5.82590004940011,0.12039472104683381
showing,5.824564186840211,0.12046460788368493
disastrous,5.812808108822672,0.12108130758848097
propaganda,5.812808108822672,0.12108130758848097
